"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 18:14:28 CST 2023","Fri May 05 18:14:29 CST 2023","970","testCase","test_case","TestCase","","","test_case[dic0]",""
"passed","Fri May 05 18:14:29 CST 2023","Fri May 05 18:14:30 CST 2023","555","testCase","test_case","TestCase","","","test_case[dic2]",""
"failed","Fri May 05 18:14:29 CST 2023","Fri May 05 18:14:29 CST 2023","360","testCase","test_case","TestCase","","","test_case[dic1]",""
