"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 06 18:43:39 CST 2023","Sat May 06 18:43:41 CST 2023","1516","testCase","test_case","TestCase","","","test_case[dic0]",""
"failed","Sat May 06 18:43:41 CST 2023","Sat May 06 18:43:43 CST 2023","1843","testCase","test_case","TestCase","","","test_case[dic1]",""
"passed","Sat May 06 18:43:46 CST 2023","Sat May 06 18:43:50 CST 2023","4234","testCase","test_case","TestCase","","","test_case[dic4]",""
"passed","Sat May 06 18:43:43 CST 2023","Sat May 06 18:43:46 CST 2023","2953","testCase","test_case","TestCase","","","test_case[dic3]",""
"passed","Sat May 06 18:43:43 CST 2023","Sat May 06 18:43:43 CST 2023","278","testCase","test_case","TestCase","","","test_case[dic2]",""
